ONTOLOGY	TERM	N	DE	P.DE	FDR
GO:0005135	MF	interleukin-3 receptor binding	2	0	1	1
GO:0005136	MF	interleukin-4 receptor binding	3	0	1	1
GO:0005137	MF	interleukin-5 receptor binding	2	0	1	1
GO:0005138	MF	interleukin-6 receptor binding	7	0	1	1
GO:0005139	MF	interleukin-7 receptor binding	2	0	1	1
GO:0005140	MF	interleukin-9 receptor binding	1	0	1	1
GO:0005141	MF	interleukin-10 receptor binding	1	0	1	1
GO:0005142	MF	interleukin-11 receptor binding	1	0	1	1
GO:0005143	MF	interleukin-12 receptor binding	6	0	1	1
GO:0005144	MF	interleukin-13 receptor binding	1	0	1	1
GO:0005146	MF	leukemia inhibitory factor receptor binding	2	0	1	1
GO:0005147	MF	oncostatin-M receptor binding	1	0	1	1
GO:0005148	MF	prolactin receptor binding	2	0	1	1
GO:0005149	MF	interleukin-1 receptor binding	16	0	1	1
GO:0005150	MF	interleukin-1, type I receptor binding	2	0	1	1
GO:0005151	MF	interleukin-1, type II receptor binding	2	0	1	1
GO:0005152	MF	interleukin-1 receptor antagonist activity	3	0	1	1
GO:0005153	MF	interleukin-8 receptor binding	3	0	1	1
GO:0005154	MF	epidermal growth factor receptor binding	33	0	1	1
GO:0005157	MF	macrophage colony-stimulating factor receptor binding	3	0	1	1
GO:0005158	MF	insulin receptor binding	22	0	1	1
GO:0005159	MF	insulin-like growth factor receptor binding	16	0	1	1
GO:0005160	MF	transforming growth factor beta receptor binding	51	0	1	1
GO:0005161	MF	platelet-derived growth factor receptor binding	15	0	1	1
GO:0005163	MF	nerve growth factor receptor binding	2	0	1	1
GO:0005164	MF	tumor necrosis factor receptor binding	31	0	1	1
GO:0005165	MF	neurotrophin receptor binding	10	0	1	1
GO:0005166	MF	neurotrophin p75 receptor binding	1	0	1	1
GO:0005167	MF	neurotrophin TRK receptor binding	6	0	1	1
GO:0005168	MF	neurotrophin TRKA receptor binding	6	0	1	1
GO:0005169	MF	neurotrophin TRKB receptor binding	1	0	1	1
GO:0005170	MF	neurotrophin TRKC receptor binding	1	0	1	1
GO:0005171	MF	hepatocyte growth factor receptor binding	2	0	1	1
GO:0005172	MF	vascular endothelial growth factor receptor binding	13	0	1	1
GO:0005173	MF	stem cell factor receptor binding	4	0	1	1
GO:0005174	MF	CD40 receptor binding	2	0	1	1
GO:0005175	MF	CD27 receptor binding	1	0	1	1
GO:0005176	MF	ErbB-2 class receptor binding	4	0	1	1
GO:0005178	MF	integrin binding	132	0	1	1
GO:0005179	MF	hormone activity	118	0	1	1
GO:0005183	MF	gonadotropin hormone-releasing hormone activity	2	0	1	1
GO:0005184	MF	neuropeptide hormone activity	27	0	1	1
GO:0005185	MF	neurohypophyseal hormone activity	2	0	1	1
GO:0005198	MF	structural molecule activity	708	0	1	1
GO:0005199	MF	structural constituent of cell wall	1	0	1	1
GO:0005200	MF	structural constituent of cytoskeleton	99	0	1	1
GO:0005201	MF	extracellular matrix structural constituent	160	0	1	1
GO:0005212	MF	structural constituent of eye lens	22	0	1	1
GO:0005215	MF	transporter activity	1120	0	1	1
GO:0005216	MF	ion channel activity	412	0	1	1
GO:0005217	MF	intracellular ligand-gated ion channel activity	33	0	1	1
GO:0005219	MF	ryanodine-sensitive calcium-release channel activity	4	0	1	1
GO:0005220	MF	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	3	0	1	1
GO:0005221	MF	intracellular cyclic nucleotide activated cation channel activity	11	0	1	1
GO:0005222	MF	intracellular cAMP-activated cation channel activity	9	0	1	1
GO:0005223	MF	intracellular cGMP-activated cation channel activity	7	0	1	1
GO:0005225	MF	volume-sensitive anion channel activity	11	0	1	1
GO:0005227	MF	calcium activated cation channel activity	28	0	1	1
GO:0005228	MF	intracellular sodium activated potassium channel activity	2	0	1	1
GO:0005229	MF	intracellular calcium activated chloride channel activity	16	0	1	1
GO:0005230	MF	extracellular ligand-gated ion channel activity	75	0	1	1
GO:0005231	MF	excitatory extracellular ligand-gated ion channel activity	31	0	1	1
GO:0005234	MF	extracellularly glutamate-gated ion channel activity	2	0	1	1
GO:0005237	MF	inhibitory extracellular ligand-gated ion channel activity	16	0	1	1
GO:0005242	MF	inward rectifier potassium channel activity	19	0	1	1
GO:0005243	MF	gap junction channel activity	15	0	1	1
GO:0005244	MF	voltage-gated ion channel activity	193	0	1	1
GO:0005245	MF	voltage-gated calcium channel activity	47	0	1	1
GO:0005246	MF	calcium channel regulator activity	46	0	1	1
GO:0005247	MF	voltage-gated chloride channel activity	11	0	1	1
GO:0005248	MF	voltage-gated sodium channel activity	20	0	1	1
GO:0005249	MF	voltage-gated potassium channel activity	84	0	1	1
GO:0005250	MF	A-type (transient outward) potassium channel activity	3	0	1	1
GO:0005251	MF	delayed rectifier potassium channel activity	32	0	1	1
GO:0005252	MF	open rectifier potassium channel activity	1	0	1	1
GO:0005253	MF	anion channel activity	89	0	1	1
GO:0005254	MF	chloride channel activity	75	0	1	1
GO:0005260	MF	intracellularly ATP-gated chloride channel activity	1	0	1	1
GO:0005261	MF	cation channel activity	315	0	1	1
GO:0005262	MF	calcium channel activity	122	0	1	1
GO:0005267	MF	potassium channel activity	120	0	1	1
GO:0005272	MF	sodium channel activity	41	0	1	1
GO:0005275	MF	amine transmembrane transporter activity	2	0	1	1
GO:0005277	MF	acetylcholine transmembrane transporter activity	2	0	1	1
GO:0005280	MF	amino acid:proton symporter activity	4	0	1	1
GO:0005283	MF	amino acid:sodium symporter activity	14	0	1	1
GO:0005287	MF	high-affinity basic amino acid transmembrane transporter activity	1	0	1	1
GO:0005289	MF	high-affinity arginine transmembrane transporter activity	1	0	1	1
GO:0005290	MF	L-histidine transmembrane transporter activity	3	0	1	1
GO:0005292	MF	high-affinity lysine transmembrane transporter activity	1	0	1	1
GO:0005294	MF	neutral L-amino acid secondary active transmembrane transporter activity	1	0	1	1
GO:0005295	MF	neutral amino acid:sodium symporter activity	2	0	1	1
GO:0005298	MF	proline:sodium symporter activity	2	0	1	1
GO:0005302	MF	L-tyrosine transmembrane transporter activity	1	0	1	1
GO:0005307	MF	choline:sodium symporter activity	1	0	1	1
GO:0005308	MF	creatine transmembrane transporter activity	2	0	1	1
GO:0005309	MF	creatine:sodium symporter activity	1	0	1	1
GO:0005310	MF	dicarboxylic acid transmembrane transporter activity	39	0	1	1
GO:0005313	MF	L-glutamate transmembrane transporter activity	14	0	1	1
GO:0005314	MF	high-affinity glutamate transmembrane transporter activity	4	0	1	1
GO:0005315	MF	inorganic phosphate transmembrane transporter activity	5	0	1	1
GO:0005316	MF	high-affinity inorganic phosphate:sodium symporter activity	1	0	1	1
GO:0005319	MF	lipid transporter activity	130	0	1	1
GO:0005324	MF	long-chain fatty acid transporter activity	11	0	1	1
GO:0005326	MF	neurotransmitter transporter activity	51	0	1	1
GO:0005328	MF	neurotransmitter:sodium symporter activity	26	0	1	1
GO:0005330	MF	dopamine:sodium symporter activity	4	0	1	1
GO:0005332	MF	gamma-aminobutyric acid:sodium symporter activity	4	0	1	1
GO:0005334	MF	norepinephrine:sodium symporter activity	2	0	1	1
GO:0005335	MF	serotonin:sodium symporter activity	3	0	1	1
GO:0005337	MF	nucleoside transmembrane transporter activity	7	0	1	1
GO:0005338	MF	nucleotide-sugar transmembrane transporter activity	13	0	1	1
GO:0005342	MF	organic acid transmembrane transporter activity	151	0	1	1
GO:0005343	MF	organic acid:sodium symporter activity	28	0	1	1
GO:0005344	MF	oxygen carrier activity	14	0	1	1
GO:0005345	MF	purine nucleobase transmembrane transporter activity	5	0	1	1
GO:0005346	MF	purine ribonucleotide transmembrane transporter activity	13	0	1	1
GO:0005347	MF	ATP transmembrane transporter activity	9	0	1	1
GO:0005350	MF	pyrimidine nucleobase transmembrane transporter activity	3	0	1	1
GO:0005351	MF	carbohydrate:proton symporter activity	10	0	1	1
GO:0005353	MF	fructose transmembrane transporter activity	4	0	1	1
GO:0005355	MF	glucose transmembrane transporter activity	20	0	1	1
GO:0005362	MF	low-affinity glucose:sodium symporter activity	2	0	1	1
GO:0005365	MF	myo-inositol transmembrane transporter activity	2	0	1	1
GO:0005366	MF	myo-inositol:proton symporter activity	1	0	1	1
GO:0005367	MF	myo-inositol:sodium symporter activity	1	0	1	1
GO:0005368	MF	taurine transmembrane transporter activity	1	0	1	1
GO:0005369	MF	taurine:sodium symporter activity	1	0	1	1
GO:0005371	MF	tricarboxylate secondary active transmembrane transporter activity	1	0	1	1
GO:0005372	MF	water transmembrane transporter activity	12	0	1	1
GO:0005375	MF	copper ion transmembrane transporter activity	5	0	1	1
GO:0005381	MF	iron ion transmembrane transporter activity	9	0	1	1
GO:0005384	MF	manganese ion transmembrane transporter activity	6	0	1	1
GO:0005385	MF	zinc ion transmembrane transporter activity	20	0	1	1
GO:0005388	MF	calcium-transporting ATPase activity	10	0	1	1
GO:0005391	MF	sodium:potassium-exchanging ATPase activity	11	0	1	1
GO:0005402	MF	carbohydrate:cation symporter activity	19	0	1	1
GO:0005412	MF	glucose:sodium symporter activity	7	0	1	1
GO:0005415	MF	nucleoside:sodium symporter activity	3	0	1	1
GO:0005416	MF	amino acid:cation symporter activity	18	0	1	1
GO:0005427	MF	proton-dependent oligopeptide secondary active transmembrane transporter activity	2	0	1	1
GO:0005432	MF	calcium:sodium antiporter activity	5	0	1	1
GO:0005436	MF	sodium:phosphate symporter activity	9	0	1	1
GO:0005451	MF	monovalent cation:proton antiporter activity	12	0	1	1
GO:0005452	MF	inorganic anion exchanger activity	13	0	1	1
GO:0005456	MF	CMP-N-acetylneuraminate transmembrane transporter activity	1	0	1	1
GO:0005457	MF	GDP-fucose transmembrane transporter activity	1	0	1	1
GO:0005459	MF	UDP-galactose transmembrane transporter activity	2	0	1	1
GO:0005460	MF	UDP-glucose transmembrane transporter activity	1	0	1	1
GO:0005461	MF	UDP-glucuronic acid transmembrane transporter activity	2	0	1	1
GO:0005462	MF	UDP-N-acetylglucosamine transmembrane transporter activity	4	0	1	1
GO:0005463	MF	UDP-N-acetylgalactosamine transmembrane transporter activity	2	0	1	1
GO:0005464	MF	UDP-xylose transmembrane transporter activity	1	0	1	1
GO:0005471	MF	ATP:ADP antiporter activity	3	0	1	1
GO:0005477	MF	pyruvate secondary active transmembrane transporter activity	1	0	1	1
GO:0005483	MF	soluble NSF attachment protein activity	3	0	1	1
GO:0005484	MF	SNAP receptor activity	30	0	1	1
GO:0005488	MF	binding	14697	4	0.745413273011772	1
GO:0005496	MF	steroid binding	95	0	1	1
GO:0005497	MF	androgen binding	4	0	1	1
GO:0005499	MF	vitamin D binding	6	0	1	1
GO:0005501	MF	retinoid binding	35	0	1	1
GO:0005502	MF	11-cis retinal binding	5	0	1	1
GO:0005503	MF	all-trans retinal binding	2	0	1	1
GO:0005504	MF	fatty acid binding	34	0	1	1
GO:0005506	MF	iron ion binding	150	0	1	1
GO:0005507	MF	copper ion binding	57	0	1	1
GO:0005509	MF	calcium ion binding	691	0	1	1
GO:0005513	BP	detection of calcium ion	13	0	1	1
GO:0005515	MF	protein binding	11502	4	0.431893008149711	1
GO:0005516	MF	calmodulin binding	200	0	1	1
GO:0005518	MF	collagen binding	67	0	1	1
GO:0005519	MF	cytoskeletal regulatory protein binding	1	0	1	1
GO:0005520	MF	insulin-like growth factor binding	28	0	1	1
GO:0005521	MF	lamin binding	16	0	1	1
GO:0005522	MF	profilin binding	11	0	1	1
GO:0005523	MF	tropomyosin binding	15	0	1	1
GO:0005524	MF	ATP binding	1452	0	1	1
GO:0005525	MF	GTP binding	362	0	1	1
GO:0005527	MF	macrolide binding	9	0	1	1
GO:0005528	MF	FK506 binding	9	0	1	1
GO:0005534	MF	galactose binding	5	0	1	1
GO:0005536	MF	glucose binding	11	0	1	1
GO:0005537	MF	mannose binding	21	0	1	1
GO:0005539	MF	glycosaminoglycan binding	226	0	1	1
GO:0005540	MF	hyaluronic acid binding	20	0	1	1
GO:0005542	MF	folic acid binding	10	0	1	1
GO:0005543	MF	phospholipid binding	422	0	1	1
GO:0005544	MF	calcium-dependent phospholipid binding	52	0	1	1
GO:0005545	MF	1-phosphatidylinositol binding	15	0	1	1
GO:0005546	MF	phosphatidylinositol-4,5-bisphosphate binding	75	0	1	1
GO:0005547	MF	phosphatidylinositol-3,4,5-trisphosphate binding	39	0	1	1
GO:0005548	MF	phospholipid transporter activity	52	0	1	1
GO:0005549	MF	odorant binding	88	0	1	1
GO:0005550	MF	pheromone binding	4	0	1	1
GO:0005575	CC	cellular_component	18346	4	0.956489382999132	1
GO:0005576	CC	extracellular region	4256	1	0.677731087937273	1
GO:0005577	CC	fibrinogen complex	8	0	1	1
GO:0005579	CC	membrane attack complex	7	0	1	1
GO:0005581	CC	collagen trimer	87	0	1	1
GO:0005582	CC	collagen type XV trimer	1	0	1	1
GO:0005583	CC	fibrillar collagen trimer	11	0	1	1
GO:0005584	CC	collagen type I trimer	2	0	1	1
GO:0005585	CC	collagen type II trimer	1	0	1	1
GO:0005586	CC	collagen type III trimer	1	0	1	1
GO:0005587	CC	collagen type IV trimer	6	0	1	1
GO:0005588	CC	collagen type V trimer	3	0	1	1
GO:0005589	CC	collagen type VI trimer	3	0	1	1
GO:0005590	CC	collagen type VII trimer	1	0	1	1
GO:0005591	CC	collagen type VIII trimer	1	0	1	1
GO:0005592	CC	collagen type XI trimer	2	0	1	1
GO:0005593	CC	FACIT collagen trimer	6	0	1	1
GO:0005594	CC	collagen type IX trimer	3	0	1	1
GO:0005595	CC	collagen type XII trimer	1	0	1	1
GO:0005596	CC	collagen type XIV trimer	1	0	1	1
GO:0005597	CC	collagen type XVI trimer	1	0	1	1
GO:0005598	CC	short-chain collagen trimer	1	0	1	1
GO:0005600	CC	collagen type XIII trimer	1	0	1	1
GO:0005602	CC	complement component C1 complex	2	0	1	1
GO:0005604	CC	basement membrane	94	0	1	1
GO:0005606	CC	laminin-1 complex	3	0	1	1
GO:0005607	CC	laminin-2 complex	2	0	1	1
GO:0005608	CC	laminin-3 complex	2	0	1	1
GO:0005610	CC	laminin-5 complex	3	0	1	1
GO:0005614	CC	interstitial matrix	12	0	1	1
GO:0005615	CC	extracellular space	3294	0	1	1
GO:0005622	CC	intracellular	14408	3	0.930854635384875	1
GO:0005623	CC	cell	16525	4	0.871933183782718	1
GO:0005634	CC	nucleus	7556	1	0.93263156059726	1
GO:0005635	CC	nuclear envelope	457	0	1	1
GO:0005637	CC	nuclear inner membrane	58	0	1	1
GO:0005638	CC	lamin filament	5	0	1	1
GO:0005639	CC	integral component of nuclear inner membrane	15	0	1	1
GO:0005640	CC	nuclear outer membrane	26	0	1	1
GO:0005641	CC	nuclear envelope lumen	9	0	1	1
GO:0005642	CC	annulate lamellae	5	0	1	1
GO:0005643	CC	nuclear pore	87	0	1	1
GO:0005652	CC	nuclear lamina	11	0	1	1
GO:0005654	CC	nucleoplasm	3457	0	1	1
GO:0005655	CC	nucleolar ribonuclease P complex	5	0	1	1
GO:0005656	CC	nuclear pre-replicative complex	3	0	1	1
GO:0005657	CC	replication fork	70	0	1	1
GO:0005658	CC	alpha DNA polymerase:primase complex	5	0	1	1
GO:0005662	CC	DNA replication factor A complex	15	0	1	1
GO:0005663	CC	DNA replication factor C complex	5	0	1	1
GO:0005664	CC	nuclear origin of replication recognition complex	9	0	1	1
GO:0005665	CC	RNA polymerase II, core complex	15	0	1	1
GO:0005666	CC	RNA polymerase III complex	17	0	1	1
GO:0005667	CC	transcription factor complex	360	0	1	1
GO:0005668	CC	RNA polymerase transcription factor SL1 complex	2	0	1	1
GO:0005669	CC	transcription factor TFIID complex	37	0	1	1
GO:0005671	CC	Ada2/Gcn5/Ada3 transcription activator complex	15	0	1	1
GO:0005672	CC	transcription factor TFIIA complex	5	0	1	1
GO:0005673	CC	transcription factor TFIIE complex	2	0	1	1
GO:0005674	CC	transcription factor TFIIF complex	2	0	1	1
GO:0005675	CC	transcription factor TFIIH holo complex	12	0	1	1
GO:0005677	CC	chromatin silencing complex	7	0	1	1
GO:0005680	CC	anaphase-promoting complex	21	0	1	1
GO:0005681	CC	spliceosomal complex	180	0	1	1
GO:0005682	CC	U5 snRNP	18	0	1	1
GO:0005683	CC	U7 snRNP	7	0	1	1
GO:0005684	CC	U2-type spliceosomal complex	88	0	1	1
GO:0005685	CC	U1 snRNP	18	0	1	1
GO:0005686	CC	U2 snRNP	21	0	1	1
GO:0005687	CC	U4 snRNP	10	0	1	1
GO:0005688	CC	U6 snRNP	7	0	1	1
GO:0005689	CC	U12-type spliceosomal complex	26	0	1	1
GO:0005690	CC	U4atac snRNP	3	0	1	1
GO:0005691	CC	U6atac snRNP	2	0	1	1
GO:0005692	CC	U11 snRNP	1	0	1	1
GO:0005693	CC	U12 snRNP	1	0	1	1
GO:0005694	CC	chromosome	1056	0	1	1
GO:0005697	CC	telomerase holoenzyme complex	21	0	1	1
GO:0005712	CC	chiasma	2	0	1	1
GO:0005713	CC	recombination nodule	2	0	1	1
GO:0005715	CC	late recombination nodule	1	0	1	1
GO:0005719	CC	nuclear euchromatin	30	0	1	1
GO:0005720	CC	nuclear heterochromatin	35	0	1	1
GO:0005721	CC	pericentric heterochromatin	20	0	1	1
GO:0005724	CC	nuclear telomeric heterochromatin	2	0	1	1
GO:0005726	CC	perichromatin fibrils	5	0	1	1
GO:0005730	CC	nucleolus	1291	0	1	1
GO:0005731	CC	nucleolus organizer region	1	0	1	1
GO:0005732	CC	small nucleolar ribonucleoprotein complex	27	0	1	1
GO:0005736	CC	RNA polymerase I complex	13	0	1	1
GO:0005737	CC	cytoplasm	11273	3	0.731308755807513	1
GO:0005739	CC	mitochondrion	1536	1	0.361857668899852	1
GO:0005740	CC	mitochondrial envelope	712	0	1	1
GO:0005741	CC	mitochondrial outer membrane	178	0	1	1
GO:0005742	CC	mitochondrial outer membrane translocase complex	9	0	1	1
GO:0005743	CC	mitochondrial inner membrane	449	0	1	1
GO:0005744	CC	TIM23 mitochondrial import inner membrane translocase complex	11	0	1	1
GO:0005745	CC	m-AAA complex	2	0	1	1
GO:0005746	CC	mitochondrial respiratory chain	77	0	1	1
GO:0005747	CC	mitochondrial respiratory chain complex I	43	0	1	1
GO:0005749	CC	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	5	0	1	1
GO:0005750	CC	mitochondrial respiratory chain complex III	11	0	1	1
GO:0005751	CC	mitochondrial respiratory chain complex IV	11	0	1	1
GO:0005753	CC	mitochondrial proton-transporting ATP synthase complex	20	0	1	1
GO:0005754	CC	mitochondrial proton-transporting ATP synthase, catalytic core	1	0	1	1
GO:0005757	CC	mitochondrial permeability transition pore complex	4	0	1	1
GO:0005758	CC	mitochondrial intermembrane space	79	0	1	1
GO:0005759	CC	mitochondrial matrix	464	0	1	1
GO:0005760	CC	gamma DNA polymerase complex	2	0	1	1
GO:0005761	CC	mitochondrial ribosome	87	0	1	1
GO:0005762	CC	mitochondrial large ribosomal subunit	57	0	1	1
GO:0005763	CC	mitochondrial small ribosomal subunit	28	0	1	1
GO:0005764	CC	lysosome	667	0	1	1
GO:0005765	CC	lysosomal membrane	347	0	1	1
GO:0005766	CC	primary lysosome	150	0	1	1
GO:0005767	CC	secondary lysosome	14	0	1	1
GO:0005768	CC	endosome	893	1	0.240813163679488	1
GO:0005769	CC	early endosome	346	0	1	1
GO:0005770	CC	late endosome	250	0	1	1
GO:0005771	CC	multivesicular body	51	0	1	1
GO:0005773	CC	vacuole	761	1	0.20065484356869	1
GO:0005774	CC	vacuolar membrane	404	1	0.116601080459843	1
GO:0005775	CC	vacuolar lumen	169	0	1	1
GO:0005776	CC	autophagosome	92	1	0.027255463990737	1
GO:0005777	CC	peroxisome	134	0	1	1
GO:0005778	CC	peroxisomal membrane	60	0	1	1
GO:0005779	CC	integral component of peroxisomal membrane	15	0	1	1
GO:0005782	CC	peroxisomal matrix	51	0	1	1
GO:0005783	CC	endoplasmic reticulum	1860	0	1	1
GO:0005784	CC	Sec61 translocon complex	5	0	1	1
GO:0005785	CC	signal recognition particle receptor complex	6	0	1	1
GO:0005786	CC	signal recognition particle, endoplasmic reticulum targeting	6	0	1	1
GO:0005787	CC	signal peptidase complex	5	0	1	1
GO:0005788	CC	endoplasmic reticulum lumen	306	0	1	1
GO:0005789	CC	endoplasmic reticulum membrane	1057	0	1	1
GO:0005790	CC	smooth endoplasmic reticulum	34	0	1	1
GO:0005791	CC	rough endoplasmic reticulum	85	0	1	1
GO:0005793	CC	endoplasmic reticulum-Golgi intermediate compartment	123	0	1	1
GO:0005794	CC	Golgi apparatus	1519	1	0.379671610052041	1
GO:0005795	CC	Golgi stack	138	0	1	1
GO:0005796	CC	Golgi lumen	95	0	1	1
GO:0005797	CC	Golgi medial cisterna	9	0	1	1
GO:0005798	CC	Golgi-associated vesicle	175	0	1	1
GO:0005801	CC	cis-Golgi network	59	0	1	1
GO:0005802	CC	trans-Golgi network	232	0	1	1
GO:0005811	CC	lipid droplet	80	0	1	1
GO:0005813	CC	centrosome	506	0	1	1
GO:0005814	CC	centriole	137	0	1	1
GO:0005815	CC	microtubule organizing center	727	0	1	1
GO:0005818	CC	aster	11	0	1	1
GO:0005819	CC	spindle	346	0	1	1
GO:0005826	CC	actomyosin contractile ring	4	0	1	1
GO:0005827	CC	polar microtubule	5	0	1	1
GO:0005828	CC	kinetochore microtubule	7	0	1	1
GO:0005829	CC	cytosol	5018	0	1	1
GO:0005832	CC	chaperonin-containing T-complex	10	0	1	1
GO:0005833	CC	hemoglobin complex	12	0	1	1
GO:0005834	CC	heterotrimeric G-protein complex	29	0	1	1
GO:0005838	CC	proteasome regulatory particle	21	0	1	1
GO:0005839	CC	proteasome core complex	20	0	1	1
GO:0005840	CC	ribosome	227	0	1	1
GO:0005844	CC	polysome	72	0	1	1
GO:0005845	CC	mRNA cap binding complex	12	0	1	1
GO:0005846	CC	nuclear cap binding complex	2	0	1	1
GO:0005847	CC	mRNA cleavage and polyadenylation specificity factor complex	17	0	1	1
GO:0005848	CC	mRNA cleavage stimulating factor complex	1	0	1	1
GO:0005849	CC	mRNA cleavage factor complex	20	0	1	1
GO:0005850	CC	eukaryotic translation initiation factor 2 complex	4	0	1	1
GO:0005851	CC	eukaryotic translation initiation factor 2B complex	6	0	1	1
GO:0005852	CC	eukaryotic translation initiation factor 3 complex	16	0	1	1
GO:0005853	CC	eukaryotic translation elongation factor 1 complex	4	0	1	1
GO:0005854	CC	nascent polypeptide-associated complex	5	0	1	1
GO:0005856	CC	cytoskeleton	2155	0	1	1
GO:0005858	CC	axonemal dynein complex	17	0	1	1
GO:0005859	CC	muscle myosin complex	18	0	1	1
GO:0005861	CC	troponin complex	8	0	1	1
GO:0005862	CC	muscle thin filament tropomyosin	4	0	1	1
GO:0005863	CC	striated muscle myosin thick filament	3	0	1	1
GO:0005865	CC	striated muscle thin filament	30	0	1	1
GO:0005868	CC	cytoplasmic dynein complex	20	0	1	1
GO:0005869	CC	dynactin complex	8	0	1	1
GO:0005871	CC	kinesin complex	54	0	1	1
GO:0005873	CC	plus-end kinesin complex	3	0	1	1
GO:0005874	CC	microtubule	412	0	1	1
GO:0005875	CC	microtubule associated complex	151	0	1	1
GO:0005876	CC	spindle microtubule	58	0	1	1
GO:0005879	CC	axonemal microtubule	9	0	1	1
GO:0005880	CC	nuclear microtubule	1	0	1	1
GO:0005881	CC	cytoplasmic microtubule	69	0	1	1
GO:0005882	CC	intermediate filament	195	0	1	1
GO:0005883	CC	neurofilament	8	0	1	1
GO:0005884	CC	actin filament	110	0	1	1
GO:0005885	CC	Arp2/3 protein complex	11	0	1	1
GO:0005886	CC	plasma membrane	5209	1	0.792729552614813	1
GO:0005887	CC	integral component of plasma membrane	1606	0	1	1
GO:0005889	CC	potassium:proton exchanging ATPase complex	1	0	1	1
GO:0005890	CC	sodium:potassium-exchanging ATPase complex	12	0	1	1
GO:0005891	CC	voltage-gated calcium channel complex	43	0	1	1
GO:0005892	CC	acetylcholine-gated channel complex	17	0	1	1
GO:0005893	CC	interleukin-2 receptor complex	2	0	1	1
GO:0005895	CC	interleukin-5 receptor complex	1	0	1	1
GO:0005896	CC	interleukin-6 receptor complex	3	0	1	1
GO:0005898	CC	interleukin-13 receptor complex	1	0	1	1
GO:0005899	CC	insulin receptor complex	5	0	1	1
GO:0005900	CC	oncostatin-M receptor complex	2	0	1	1
GO:0005901	CC	caveola	80	0	1	1
GO:0005902	CC	microvillus	83	0	1	1
GO:0005903	CC	brush border	96	0	1	1
GO:0005905	CC	clathrin-coated pit	69	0	1	1
GO:0005911	CC	cell-cell junction	454	0	1	1
GO:0005912	CC	adherens junction	544	0	1	1
GO:0005913	CC	cell-cell adherens junction	116	0	1	1
GO:0005914	CC	spot adherens junction	1	0	1	1
GO:0005915	CC	zonula adherens	8	0	1	1
GO:0005916	CC	fascia adherens	10	0	1	1
GO:0005921	CC	gap junction	31	0	1	1
GO:0005922	CC	connexin complex	20	0	1	1
GO:0005923	CC	bicellular tight junction	121	0	1	1
GO:0005924	CC	cell-substrate adherens junction	407	0	1	1
GO:0005925	CC	focal adhesion	404	0	1	1
GO:0005927	CC	muscle tendon junction	3	0	1	1
GO:0005929	CC	cilium	599	0	1	1
GO:0005930	CC	axoneme	121	0	1	1
GO:0005938	CC	cell cortex	304	0	1	1
GO:0005940	CC	septin ring	14	0	1	1
GO:0005942	CC	phosphatidylinositol 3-kinase complex	26	0	1	1
GO:0005943	CC	phosphatidylinositol 3-kinase complex, class IA	2	0	1	1
GO:0005944	CC	phosphatidylinositol 3-kinase complex, class IB	3	0	1	1
GO:0005945	CC	6-phosphofructokinase complex	3	0	1	1
GO:0005947	CC	mitochondrial alpha-ketoglutarate dehydrogenase complex	5	0	1	1
GO:0005952	CC	cAMP-dependent protein kinase complex	13	0	1	1
GO:0005953	CC	CAAX-protein geranylgeranyltransferase complex	2	0	1	1
GO:0005954	CC	calcium- and calmodulin-dependent protein kinase complex	2	0	1	1
GO:0005955	CC	calcineurin complex	5	0	1	1
GO:0005956	CC	protein kinase CK2 complex	2	0	1	1
GO:0005958	CC	DNA-dependent protein kinase-DNA ligase 4 complex	4	0	1	1
GO:0005960	CC	glycine cleavage complex	2	0	1	1
GO:0005964	CC	phosphorylase kinase complex	5	0	1	1
GO:0005965	CC	protein farnesyltransferase complex	2	0	1	1
GO:0005967	CC	mitochondrial pyruvate dehydrogenase complex	3	0	1	1
GO:0005968	CC	Rab-protein geranylgeranyltransferase complex	4	0	1	1
GO:0005969	CC	serine-pyruvate aminotransferase complex	1	0	1	1
GO:0005971	CC	ribonucleoside-diphosphate reductase complex	2	0	1	1
GO:0005975	BP	carbohydrate metabolic process	616	0	1	1
GO:0005976	BP	polysaccharide metabolic process	112	0	1	1
GO:0005977	BP	glycogen metabolic process	73	0	1	1
GO:0005978	BP	glycogen biosynthetic process	46	0	1	1
GO:0005979	BP	regulation of glycogen biosynthetic process	29	0	1	1
GO:0005980	BP	glycogen catabolic process	22	0	1	1
GO:0005981	BP	regulation of glycogen catabolic process	6	0	1	1
GO:0005982	BP	starch metabolic process	1	0	1	1
GO:0005983	BP	starch catabolic process	1	0	1	1
GO:0005984	BP	disaccharide metabolic process	11	0	1	1
GO:0005985	BP	sucrose metabolic process	3	0	1	1
GO:0005986	BP	sucrose biosynthetic process	2	0	1	1
GO:0005988	BP	lactose metabolic process	3	0	1	1
GO:0005989	BP	lactose biosynthetic process	3	0	1	1
GO:0005991	BP	trehalose metabolic process	2	0	1	1
GO:0005993	BP	trehalose catabolic process	1	0	1	1
GO:0005996	BP	monosaccharide metabolic process	287	0	1	1
GO:0005997	BP	xylulose metabolic process	4	0	1	1
GO:0005998	BP	xylulose catabolic process	1	0	1	1
GO:0005999	BP	xylulose biosynthetic process	2	0	1	1
GO:0006000	BP	fructose metabolic process	15	0	1	1
