N	DE	P.DE	FDR
KORKOLA_TERATOMA_UP	17	0	1	1
KORKOLA_YOLK_SAC_TUMOR_UP	20	0	1	1
KORKOLA_CHORIOCARCINOMA_UP	6	0	1	1
KORKOLA_CHORIOCARCINOMA_DN	11	0	1	1
KORKOLA_SEMINOMA_UP	43	0	1	1
KORKOLA_SEMINOMA_DN	11	0	1	1
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	109	0	1	1
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	92	0	1	1
HOLLMANN_APOPTOSIS_VIA_CD40_UP	197	0	1	1
HOLLMANN_APOPTOSIS_VIA_CD40_DN	258	0	1	1
LIU_PROSTATE_CANCER_UP	96	0	1	1
LIU_PROSTATE_CANCER_DN	481	0	1	1
LIU_SOX4_TARGETS_UP	138	0	1	1
LIU_SOX4_TARGETS_DN	308	0	1	1
ONKEN_UVEAL_MELANOMA_UP	786	0	1	1
ONKEN_UVEAL_MELANOMA_DN	516	0	1	1
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	200	1	0.0565258610666939	1
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	174	0	1	1
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	348	0	1	1
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	83	0	1	1
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	59	0	1	1
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN	20	0	1	1
FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	19	0	1	1
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	6	0	1	1
FOURNIER_ACINAR_DEVELOPMENT_LATE_UP	11	0	1	1
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	22	0	1	1
NAM_FXYD5_TARGETS_DN	18	0	1	1
FRASOR_TAMOXIFEN_RESPONSE_UP	50	0	1	1
FRASOR_TAMOXIFEN_RESPONSE_DN	12	0	1	1
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	131	0	1	1
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	10	0	1	1
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	297	0	1	1
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	347	0	1	1
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	28	0	1	1
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	66	0	1	1
KOBAYASHI_EGFR_SIGNALING_6HR_UP	7	0	1	1
KOBAYASHI_EGFR_SIGNALING_6HR_DN	18	0	1	1
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	154	0	1	1
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	52	0	1	1
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	26	0	1	1
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	446	0	1	1
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	30	0	1	1
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	37	0	1	1
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP	39	0	1	1
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	64	0	1	1
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	142	0	1	1
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	368	0	1	1
ZERBINI_RESPONSE_TO_SULINDAC_UP	9	0	1	1
ZERBINI_RESPONSE_TO_SULINDAC_DN	6	0	1	1
IGARASHI_ATF4_TARGETS_UP	5	0	1	1
IGARASHI_ATF4_TARGETS_DN	97	0	1	1
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	180	0	1	1
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	70	0	1	1
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	336	0	1	1
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	176	0	1	1
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	257	0	1	1
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	66	1	0.019941242922638	1
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP	64	0	1	1
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_DN	14	0	1	1
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	393	0	1	1
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	167	0	1	1
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	63	0	1	1
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN	7	0	1	1
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	46	0	1	1
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	193	0	1	1
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	73	0	1	1
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	67	0	1	1
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	22	0	1	1
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN	7	0	1	1
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	67	0	1	1
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	88	0	1	1
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	96	0	1	1
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	73	0	1	1
CHANDRAN_METASTASIS_TOP50_UP	37	0	1	1
CHANDRAN_METASTASIS_TOP50_DN	44	0	1	1
WILCOX_RESPONSE_TO_PROGESTERONE_UP	150	0	1	1
WILCOX_RESPONSE_TO_PROGESTERONE_DN	62	0	1	1
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	572	1	0.151007165515652	1
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	443	0	1	1
GARY_CD5_TARGETS_UP	466	0	1	1
GARY_CD5_TARGETS_DN	434	0	1	1
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	422	0	1	1
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	364	0	1	1
SAMOLS_TARGETS_OF_KHSV_MIRNAS_UP	8	0	1	1
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	59	0	1	1
HOOI_ST7_TARGETS_UP	88	0	1	1
HOOI_ST7_TARGETS_DN	114	0	1	1
PRAMOONJAGO_SOX4_TARGETS_UP	52	0	1	1
PRAMOONJAGO_SOX4_TARGETS_DN	49	0	1	1
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	76	0	1	1
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	143	0	1	1
PIEPOLI_LGI1_TARGETS_UP	17	0	1	1
PIEPOLI_LGI1_TARGETS_DN	15	0	1	1
THUM_SYSTOLIC_HEART_FAILURE_UP	415	0	1	1
THUM_SYSTOLIC_HEART_FAILURE_DN	193	0	1	1
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	162	0	1	1
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	665	0	1	1
CORRE_MULTIPLE_MYELOMA_UP	69	0	1	1
CORRE_MULTIPLE_MYELOMA_DN	56	0	1	1
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	272	1	0.0771627422899947	1
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	57	0	1	1
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	1393	0	1	1
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	117	0	1	1
CASORELLI_APL_SECONDARY_VS_DE_NOVO_UP	37	0	1	1
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	350	0	1	1
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	311	2	0.00292176645385822	1
LIU_CMYB_TARGETS_UP	161	0	1	1
LIU_CMYB_TARGETS_DN	6	0	1	1
LIU_VMYB_TARGETS_UP	121	0	1	1
LIU_TARGETS_OF_VMYB_VS_CMYB_UP	15	0	1	1
LIU_TARGETS_OF_VMYB_VS_CMYB_DN	43	0	1	1
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	372	0	1	1
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	447	0	1	1
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	444	1	0.128801586101594	1
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	457	0	1	1
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	122	0	1	1
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	50	0	1	1
DOANE_BREAST_CANCER_CLASSES_UP	70	0	1	1
DOANE_BREAST_CANCER_CLASSES_DN	32	0	1	1
DOANE_RESPONSE_TO_ANDROGEN_UP	175	0	1	1
DOANE_RESPONSE_TO_ANDROGEN_DN	242	0	1	1
DOANE_BREAST_CANCER_ESR1_UP	109	0	1	1
DOANE_BREAST_CANCER_ESR1_DN	47	0	1	1
WANG_RESPONSE_TO_ANDROGEN_UP	27	0	1	1
WANG_RESPONSE_TO_FORSKOLIN_UP	21	0	1	1
WANG_RESPONSE_TO_FORSKOLIN_DN	9	0	1	1
TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN	16	0	1	1
LAIHO_COLORECTAL_CANCER_SERRATED_UP	112	0	1	1
LAIHO_COLORECTAL_CANCER_SERRATED_DN	83	0	1	1
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	308	0	1	1
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	98	0	1	1
ROY_WOUND_BLOOD_VESSEL_UP	49	0	1	1
ROY_WOUND_BLOOD_VESSEL_DN	23	0	1	1
GRABARCZYK_BCL11B_TARGETS_UP	76	0	1	1
GRABARCZYK_BCL11B_TARGETS_DN	56	0	1	1
NEWMAN_ERCC6_TARGETS_UP	24	0	1	1
NEWMAN_ERCC6_TARGETS_DN	39	0	1	1
HORIUCHI_WTAP_TARGETS_UP	298	1	0.0801916151674031	1
HORIUCHI_WTAP_TARGETS_DN	312	0	1	1
GAL_LEUKEMIC_STEM_CELL_UP	124	0	1	1
GAL_LEUKEMIC_STEM_CELL_DN	231	0	1	1
CHOI_ATL_CHRONIC_VS_ACUTE_DN	19	0	1	1
BASAKI_YBX1_TARGETS_UP	285	1	0.0866051011746539	1
BASAKI_YBX1_TARGETS_DN	378	0	1	1
NOJIMA_SFRP2_TARGETS_UP	32	0	1	1
NOJIMA_SFRP2_TARGETS_DN	24	0	1	1
WIKMAN_ASBESTOS_LUNG_CANCER_UP	17	0	1	1
WIKMAN_ASBESTOS_LUNG_CANCER_DN	29	0	1	1
RODRIGUES_DCC_TARGETS_UP	6	0	1	1
RODRIGUES_DCC_TARGETS_DN	119	0	1	1
RODRIGUES_NTN1_TARGETS_UP	16	0	1	1
RODRIGUES_NTN1_TARGETS_DN	158	0	1	1
WANG_LMO4_TARGETS_UP	345	0	1	1
WANG_LMO4_TARGETS_DN	350	0	1	1
WANG_CLIM2_TARGETS_UP	240	0	1	1
WANG_CLIM2_TARGETS_DN	177	0	1	1
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	172	0	1	1
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	140	0	1	1
VECCHI_GASTRIC_CANCER_EARLY_UP	422	0	1	1
VECCHI_GASTRIC_CANCER_EARLY_DN	358	0	1	1
BARRIER_COLON_CANCER_RECURRENCE_UP	42	0	1	1
BARRIER_COLON_CANCER_RECURRENCE_DN	19	0	1	1
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	158	0	1	1
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN	5	0	1	1
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	78	0	1	1
JAEGER_METASTASIS_UP	44	0	1	1
JAEGER_METASTASIS_DN	255	1	0.0654198063283393	1
OSMAN_BLADDER_CANCER_UP	394	0	1	1
OSMAN_BLADDER_CANCER_DN	410	0	1	1
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	68	0	1	1
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	327	0	1	1
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	107	0	1	1
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	171	0	1	1
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	220	0	1	1
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	274	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	32	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	23	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	79	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	54	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP	16	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_DN	26	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_UP	26	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN	12	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP	11	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_UP	25	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_DN	23	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	133	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN	60	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_UP	32	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN	11	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_UP	18	0	1	1
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_DN	76	0	1	1
RUNNE_GENDER_EFFECT_UP	9	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP	82	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_DN	43	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	177	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_DN	30	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	152	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	193	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	189	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	141	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	173	0	1	1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	117	0	1	1
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	14	0	1	1
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_DN	7	0	1	1
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP	30	0	1	1
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	32	0	1	1
BILBAN_B_CLL_LPL_UP	62	0	1	1
BILBAN_B_CLL_LPL_DN	40	0	1	1
HOEBEKE_LYMPHOID_STEM_CELL_UP	94	0	1	1
HOEBEKE_LYMPHOID_STEM_CELL_DN	88	0	1	1
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	32	0	1	1
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	21	0	1	1
AKL_HTLV1_INFECTION_UP	27	0	1	1
AKL_HTLV1_INFECTION_DN	67	0	1	1
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	75	0	1	1
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	366	0	1	1
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP	257	0	1	1
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN	123	0	1	1
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	128	0	1	1
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	74	0	1	1
MULLIGHAN_MLL_SIGNATURE_1_UP	376	0	1	1
MULLIGHAN_MLL_SIGNATURE_1_DN	235	0	1	1
MULLIGHAN_MLL_SIGNATURE_2_UP	413	0	1	1
MULLIGHAN_MLL_SIGNATURE_2_DN	274	0	1	1
MULLIGHAN_NPM1_SIGNATURE_3_UP	324	0	1	1
MULLIGHAN_NPM1_SIGNATURE_3_DN	159	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_UP	15	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	7	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	183	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	188	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_UP	54	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN	18	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	202	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	56	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	157	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN	18	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_UP	21	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN	10	0	1	1
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	44	0	1	1
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	14	0	1	1
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_DN	7	0	1	1
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	53	0	1	1
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	42	0	1	1
DITTMER_PTHLH_TARGETS_UP	112	0	1	1
DITTMER_PTHLH_TARGETS_DN	70	0	1	1
UDAYAKUMAR_MED1_TARGETS_UP	135	1	0.0431232263958913	1
UDAYAKUMAR_MED1_TARGETS_DN	239	0	1	1
ODONNELL_TFRC_TARGETS_UP	365	0	1	1
ODONNELL_TFRC_TARGETS_DN	128	0	1	1
ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP	78	0	1	1
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	45	0	1	1
SENESE_HDAC1_TARGETS_UP	435	1	0.121219111478118	1
SENESE_HDAC1_TARGETS_DN	248	0	1	1
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	230	0	1	1
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	224	0	1	1
SENESE_HDAC2_TARGETS_UP	111	0	1	1
SENESE_HDAC2_TARGETS_DN	121	0	1	1
SENESE_HDAC3_TARGETS_UP	477	0	1	1
SENESE_HDAC3_TARGETS_DN	532	0	1	1
LEE_NEURAL_CREST_STEM_CELL_UP	146	0	1	1
LEE_NEURAL_CREST_STEM_CELL_DN	120	0	1	1
HUMMEL_BURKITTS_LYMPHOMA_UP	42	0	1	1
HUMMEL_BURKITTS_LYMPHOMA_DN	15	0	1	1
TIEN_INTESTINE_PROBIOTICS_2HR_UP	29	0	1	1
TIEN_INTESTINE_PROBIOTICS_2HR_DN	88	0	1	1
TIEN_INTESTINE_PROBIOTICS_6HR_UP	50	0	1	1
TIEN_INTESTINE_PROBIOTICS_6HR_DN	168	0	1	1
TIEN_INTESTINE_PROBIOTICS_24HR_UP	556	1	0.155720278405349	1
TIEN_INTESTINE_PROBIOTICS_24HR_DN	213	0	1	1
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	477	0	1	1
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	268	1	0.0748765110425489	1
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	375	0	1	1
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	1268	0	1	1
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	323	0	1	1
SABATES_COLORECTAL_ADENOMA_SIZE_UP	20	0	1	1
SABATES_COLORECTAL_ADENOMA_SIZE_DN	13	0	1	1
SABATES_COLORECTAL_ADENOMA_UP	135	0	1	1
SABATES_COLORECTAL_ADENOMA_DN	287	0	1	1
SCIBETTA_KDM5B_TARGETS_UP	19	0	1	1
SCIBETTA_KDM5B_TARGETS_DN	79	0	1	1
NAGASHIMA_NRG1_SIGNALING_UP	172	0	1	1
NAGASHIMA_NRG1_SIGNALING_DN	54	0	1	1
NAGASHIMA_EGF_SIGNALING_UP	57	0	1	1
KIM_WT1_TARGETS_UP	216	0	1	1
KIM_WT1_TARGETS_DN	465	0	1	1
KIM_WT1_TARGETS_8HR_UP	167	0	1	1
KIM_WT1_TARGETS_8HR_DN	122	0	1	1
KIM_WT1_TARGETS_12HR_UP	166	0	1	1
KIM_WT1_TARGETS_12HR_DN	213	0	1	1
ELVIDGE_HYPOXIA_UP	170	0	1	1
ELVIDGE_HYPOXIA_DN	147	0	1	1
ELVIDGE_HYPOXIA_BY_DMOG_UP	133	0	1	1
ELVIDGE_HYPOXIA_BY_DMOG_DN	59	0	1	1
ELVIDGE_HIF1A_TARGETS_UP	67	0	1	1
ELVIDGE_HIF1A_TARGETS_DN	91	0	1	1
ELVIDGE_HIF2A_TARGETS_UP	6	0	1	1
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_UP	41	0	1	1
ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	104	0	1	1
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	314	1	0.0892180398338189	1
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	230	0	1	1
MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_UP	20	0	1	1
MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_DN	12	0	1	1
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	24	0	1	1
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_DN	11	0	1	1
GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_UP	94	0	1	1
GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_DN	45	0	1	1
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP	58	0	1	1
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN	11	0	1	1
GRAHAM_CML_DIVIDING_VS_NORMAL_DIVIDING_UP	13	0	1	1
GRAHAM_CML_DIVIDING_VS_NORMAL_DIVIDING_DN	10	0	1	1
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	184	0	1	1
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_DN	92	0	1	1
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP	63	0	1	1
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	89	0	1	1
BIDUS_METASTASIS_UP	215	0	1	1
BIDUS_METASTASIS_DN	149	0	1	1
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	265	0	1	1
WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN	194	0	1	1
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	140	0	1	1
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_DN	70	0	1	1
MAYBURD_RESPONSE_TO_L663536_UP	29	0	1	1
MAYBURD_RESPONSE_TO_L663536_DN	55	0	1	1
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	19	0	1	1
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_DN	15	0	1	1
DODD_NASOPHARYNGEAL_CARCINOMA_UP	1671	1	0.386293177558988	1
DODD_NASOPHARYNGEAL_CARCINOMA_DN	1353	0	1	1
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP	625	0	1	1
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	759	0	1	1
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	699	0	1	1
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	510	0	1	1
RODRIGUES_THYROID_CARCINOMA_UP	15	0	1	1
RODRIGUES_THYROID_CARCINOMA_DN	77	0	1	1
GOZGIT_ESR1_TARGETS_UP	144	0	1	1
GOZGIT_ESR1_TARGETS_DN	734	0	1	1
HAHTOLA_SEZARY_SYNDROM_UP	99	0	1	1
HAHTOLA_SEZARY_SYNDROM_DN	42	0	1	1
HAHTOLA_MYCOSIS_FUNGOIDES_SKIN_UP	175	0	1	1
HAHTOLA_MYCOSIS_FUNGOIDES_SKIN_DN	27	0	1	1
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP	62	0	1	1
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	113	0	1	1
HAHTOLA_MYCOSIS_FUNGOIDES_UP	18	0	1	1
HAHTOLA_MYCOSIS_FUNGOIDES_DN	15	0	1	1
PROVENZANI_METASTASIS_UP	197	0	1	1
PROVENZANI_METASTASIS_DN	140	0	1	1
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	36	0	1	1
LIU_CDX2_TARGETS_UP	34	0	1	1
LIU_CDX2_TARGETS_DN	8	0	1	1
COLDREN_GEFITINIB_RESISTANCE_UP	85	0	1	1
COLDREN_GEFITINIB_RESISTANCE_DN	218	1	0.0619941455815275	1
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	128	0	1	1
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_DN	61	0	1	1
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_UP	116	0	1	1
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN	72	0	1	1
PASTURAL_RIZ1_TARGETS_UP	10	0	1	1
